STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2018,,116.35,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2019,,121.93,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2020,,129.22,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2021,,141.15,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2022,,163.17,,b,break in time series,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2023,,180.44,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2024,,208.82,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",BG,Bulgaria,2025,,242.97,,p,provisional,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2016,,91.65,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2017,,91.62,,,,,
