"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.515849815994341","0.526992178878508","0.534944969276287","0.550255880899093","0.572629068289184","0.579803423428257","0.587938271815832","0.599380891699916","0.63179722539914","0.636625098090419","0.628973694073559","0.649748660567201","0.668179513387872","0.675221615802419","0.676016069242508","0.688679918907682","0.691355632498235","0.707898439520514","0.72412054864548","0.731939888309374","0.71430444101862","0.727899780486547","0.736741127648223","0.719008021782698","0.73280502011743","0.763303791019128","0.759784686729285","0.757897566150687","0.765701445787313","0.79509039830895","0.788775769025922","0.761985246029648","0.73373196893843","0.755766011715452","",
"Africa Eastern and Southern","AFE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.215021739766249","0.185514296386488","0.193149006563114","0.205665899110767","0.228237965423844","0.236211538527174","0.244437624894453","0.292337074372542","0.286211074303551","0.287804316102624","0.31753578596152","0.347863295726007","0.327603869657351","0.298647465611095","0.280987881083867","0.247614251046152","0.23589670774426","0.224963910315426","0.202007124113082","0.192221917434848","0.199371857842555","0.166263302067621","0.168281609531498","0.187924599142549","",
"Africa Western and Central","AFW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.354122462246644","0.320276439952039","0.26054963552181","0.232488209254732","0.172817032240416","0.183683455335003","0.21587495714312","0.201030640285024","0.161531795787739","0.147413014037115","0.207544151150085","0.190652620745955","0.230670018672707","0.255948676882651","0.297029974473615","0.393017915758925","0.484246131005116","0.515263510089162","0.61687473784144","0.482696792495181","0.544472657255542","0.687772640450927","0.691511467071733","0.66892231890813","0.626511613384655","0.451408159659843","0.264176316567577","0.348542002652781","0.345489998832843","0.290879978262779","0.224768108944545","0.259967838981942","0.369682720660274","0.28701212475457","0.25420408368423",
"Albania","ALB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28258796394954","0.205788913502936","0.128579999573085","0.208362451468401","0.298914903124375","0.328263285794124","0.334381211653082","0.264020484277144","0.269374731725782","0.29762191055549","0.29178829234339","0.29800412667439","0.305729852859617","0.369198675374865","0.437295573399254","0.455865044627123","0.452711140834634","0.493483159452312","0.53115677182158","0.466838530011349","0.425294690191961","0.434683755269774","0.403526948687545","0.41746965537888","0.406655042417948","0.338947716570505","0.341435721464334","0.35479637576784","0.391740625940434","0.369146777376543","0.370091204057658","0.397656260890278","0.352069700274593","0.403287824417806","0.426242583891839",
"Andorra","AND","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.785409243012296","0.796942715370497","0.843921142479902","0.693292693366015","0.669880582589683","0.739671588696373","0.720761863956276","0.626613827623652","0.616389337103443","0.597509080836208","0.651867168297039","0.637241214393693","0.683942929840866","0.827833118685104","0.913474977409548","0.915921920064504","0.927742682838478","1.01757415276657","1.09575416908129","1.03414679087748","0.974771715370008","1.00476009359671","0.912038832795703","0.931178084858327","0.914732692787141","0.761925228535435","0.75559614823707","0.7661881617016","0.77509352285557","0.71783827489834","0.71716069963247","0.715053505428999","0.619453950090327","0.652614137142016","0.657913251334808",
"Arab World","ARB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.307191463369153","0.299552036713103","0.298169570919085","0.294988109884247","0.288063120855789","0.293172220789044","0.304522099143893","0.296508989803204","0.28062438197273","0.300072241142875","0.32705078834797","0.312334553408104","0.319152574323327","0.325719046422045","0.344155163455578","0.388839418808147","0.422329032718639","0.46272711398247","0.538117992286562","0.453617818536231","0.522244488389274","0.579062865006023","0.595771265536419","0.608356864722832","0.602727497747564","0.607010736701618","0.610414933757808","0.622260156661334","0.608620471577811","0.575554200465214","0.568818104680986","0.643313052785729","0.676343058560931","0.644336444413726","0.633379476186693",
"Argentina","ARG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.602842701763606","0.717154038751569","0.783353878406485","0.731791622015032","0.736171486524754","0.743875471066843","0.730119100894244","0.714412313957507","0.694425180472247","0.672159933949251","0.664089244713395","0.642348668915945","0.258171365807869","0.303700588486993","0.350068749224564","0.376362707784737","0.395415468069887","0.436657685676805","0.517696128956732","0.503658220291659","0.574874210860623","0.66497195531362","0.666466239450322","0.650493382001246","0.627745774331629","0.687447782840901","0.631657865947359","0.62144344185593","0.481467070966957","0.423355375548655","0.381166737382459","0.408285397167516","0.470836720758075","0.471622202801388","0.459252952324262",
